Variable Names,Measured Value-x,HalfWidthConfidenceInterval
singularPressureLoss1.Q, 100.3, 2
singularPressureLoss2.Q, 50, 2
singularPressureLoss3.Q, 48.9, 2
singularPressureLoss4.Q, 98.9, 2
staticDrum1.P, 29E5,3E5
staticDrum2.P, 25E5, 3E5
staticDrum1.h, 1E6, 1E4
staticDrum2.h, 1E6, 1E4
singularPressureLoss1.h, 1E6, 1E5
singularPressureLoss2.h, 1E6, 1E5
singularPressureLoss3.h, 1E6, 1E5
singularPressureLoss4.h, 1E6, 1E5
singularPressureLoss1.Pm, 29E5, 3E5
singularPressureLoss2.Pm, 27E5, 3E5
singularPressureLoss3.Pm, 27E5, 3E5
singularPressureLoss4.Pm, 25E5, 3E5
