Variable Names,Measured Value-x,HalfWidthConfidenceInterval,xi,xk,rx_ik
singularPressureLoss1.Q, 2.10, 1.96,,,
singularPressureLoss2.Q, 1.10, 1.91,,,
singularPressureLoss3.Q, 0.95, 1.91,,,
singularPressureLoss4.Q, 2.00, 1.91,,,
staticDrum1.T, 470, 8,,,
mixer21.T, 475, 8,,,
singularPressureLoss1.T, 470, 8,,,
singularPressureLoss2.T, 465, 8,,,
singularPressureLoss3.T, 473, 8,,,
singularPressureLoss4.T, 462, 8,,,
singularPressureLoss1.Pm, 1550000, 155000,,,
singularPressureLoss2.Pm, 1500000, 155000,,,
singularPressureLoss3.Pm, 1490000, 155000,,,
singularPressureLoss4.Pm, 1400000, 155000,,,
staticDrum1.P, 1450000, 155000,,,
mixer21.P, 1420000, 155000,,,
